"Unique_Index";"Seminar";"Time_UT";"Time_local";"Speaker";"Title";"Abstract";"Information" 
"10";"Caltech Logic Seminar";"9/28/2022 18:00";"Wednesday, 28 September, 11:00am-12:00pm Pacific time (20:00-21:00 CEST)";"Adrian Mathias (Université de la Réunion)";"Iteration problems in Symbolic Dynamics";"In the decade 1994 – 2004 I wrote five papers applying techniques from descriptive set theory to a question posed by the dynamics group of Barcelona concerning the possible lengths of iterations. In August 2021 I gave two talks in the CUNY set theory Zoominar of Vika Gitman which were largely devoted to expounding the last and hardest of my constructions in this area. The present talk will be devoted to my earlier and more basic results, some recent work, and various open problems which I hope might attract logicians working in areas such as the descriptive set theory of group actions.";"Please see the seminar webpage."
"11";"Bristol Logic and Set Theory Seminar";"9/29/2022 11:30";"Thursday, 29 September, 12:30-13:30 UK time (13:30-14:30 CEST) – note the time change";"Will Stafford, University of Bristol";"Is the Proof-Theoretically Valid Logic Intuitionistic?";"Several recent results bring into focus the superintuitionistic nature of most notions of proof-theoretic validity, but little work has been done evaluating the consequences of these results. Proof-theoretic validity claims to offer a formal explication of how inferences follow from the definitions of logic connectives (which are defined by their introduction rules). This paper explores whether the new results undermine this claim. It is argued that, while the formal results are worrying, superintuitionistic inferences are valid because the treatments of atomic formulas are insufficiently general, and a resolution to this issue is proposed.";"For the zoom access code, please contact Philip Welch in advance."
"12";"CUNY Set Theory Seminar";"9/30/2022 16:30";"Friday, 30 September, 12:30pm New York time (18:30 CEST)";"Victoria Gitman, CUNY";"Jensen’s forcing at an inaccessible";"Jensen constructed in L, using ♢, a subposet of the Sacks forcing with the ccc and the property that it adds a unique generic real over L (in contrast to, say, Cohen forcing which adds continuum many generic reals). He used what came to be known as Jensen’s forcing to show that, consistently, there can be a Π12-definable non-constructible real. The ‘uniqueness of generic reals’ property of Jensen’s forcing extends to products of Jensen’s forcing and to finite iterations, when forcing over L. Indeed, a Jensen-like forcing with the same uniqueness properties can be constructed in any universe with a ♢-sequence. In a joint work with Friedman and Kanovei, we used a tree iteration of Jensen’s forcing to construct (in a symmetric submodel of the forcing extension) a model of full second-order arithmetic Z2 with the choice scheme in which the dependent choice scheme failed for a Π12-assertion (this is optimal because Z2 with the choice scheme implies dependent choice for Σ12-assertions). In this talk, I will present a generalization of Jensen’s forcing to forcing with perfect κ-trees for an inaccessible cardinal κ. I will show that Jensen’s forcing at an inaccessible has the same ‘uniqueness of generics’ properties as Jensen’s forcing. One of the goals of this work is to prove an analogue of the second-order arithmetic result for second-order set theory by showing that the dependent choice scheme is independent of the second-order Kelley-Morse set theory with the choice scheme. This is joint work with Sy-David Friedman.";"The seminar will take place virtually. Please email Victoria Gitman (vgitman@nylogic.org) for the meeting id."
"13";"Toronto Set Theory Seminar";"9/30/2022 17:30";"Friday, 30 September, 1.30-3.00 Toronto time (19.30-21.00 CEST)";"Jing Zhang";"Diamonds at Large Cardinals, part 2";"It is well-known that large cardinal properties can give rise to guessing principles. For example, Jensen and Kunen showed that if kappa is a subtle cardinal, then the diamond principle holds at kappa and Laver showed that if kappa is a supercompact cardinal, then a stronger guessing principle, nowadays known as the Laver diamond, holds at kappa. The following two questions are long-standing and they motivate much of the research in the area: 1) can diamond fail at a weakly compact cardinal, 2) does GCH imply that diamond holds at an inaccessible cardinal. We will introduce weakenings of the diamond principle, which follow from weak compactness. Using these principles, we demonstrate a few ways to make diamond fail at an inaccessible cardinal as well as obstacles to make diamond fail at a weakly compact cardinal. Joint work with Omer Ben-Neria.";"Please see http://gfs.fields.utoronto.ca/activities/22-23/set-theory-seminar."
"14";"CUNY Logic Workshop";"9/30/2022 18:00";"Friday, 30 September, 2:00 – 3:30 New York time (20:00-21:30 CEST)";"Hans Schoutens, CUNY";"The model-theory of categories";"One could make the claim that category theory is as foundational as set-theory or model-theory. So, we should be able to transfer from one perspective to the other. In this talk, I will consider one aspect of this meta-equivalence, by introducing a theory in a very simple, one-sorted(!) language, whose models are all categories admitting a terminal object (many categories do). Many categorical constructions then turn out to be first-order. But something even more strange happens: standard categories (like the category of Abelian groups) become actually universal models! I’ll explain this apparent contradiction. 
In the second part of the talk, I will concentrate on one particularly interesting category: that of compact Hausdorff spaces. I will show that we can recover the natural numbers N and the reals R, or rather, (the isomorphism classes of) their compactifications ¯N and ¯R, by parameter-free definitions, including their order relation, addition and multiplication. Moreover, in any category that is elementary equivalent to the category of compact Hausdorff spaces, the resulting objects are then a model of PA and a real closed field respectively. Full disclosure: while I have a complete proof for the first assertion, the second is still conjectural.
Apart from some basic model-theory, category theory and topology, everything else will be explained in the talk and so it should be accessible to many.";"The talk will take place in hybrid mode. Please see the seminar webpage or email Victoria Gitman for the link."
"15";"CMU Core Model Theory Seminar";"10/4/2022 17:30";"Tuesday, 4 October, 1:30 – 3:00pm Pittsburgh time (19:30 – 21:00 CEST)  ";"Nam Trang, University of North Texas";"Core model induction toolbox and examples, part 4";"This is the abstract for the first four lectures.
We discuss the relevant concepts and tools that go into a core model induction through L(R) (or more generally through models of the form Lp^\Sigma(R)). We provide examples (PFA, the existence of an \omega_1-dense ideal on \omega_1 etc) that illustrate how these concepts are used in practice.";"Please contact Ernest Schimmerling in advance for the zoom link."
"16";"Helsinki Logic Seminar";"10/5/2022 9:00";"Wednesday, 5 October, 12:00 – 14:00 Helsinki time (11:00-13:00 CEST)";"Tuomas Hakoniemi";"tba";"tba";"The talk will take place in hybrid mode. Please see the seminar webpage for the link."
"17";"Toronto Set Theory Seminar";"10/7/2022 17:30";"Friday, 7 October, 1.30-3.00 Toronto time (19.30-21.00 CEST)";"Keegan Dasilva Barbosa, The Fields Institute and University of Toronto";"The weak Ramsey property and extreme amenability";"In their highly influential work “Fra\”iss\’e Limits, Ramsey Theory, and Topological Dynamics of Automorphism Groups”, Kechris, Pestov, and Todorcevic characterized fixed point properties of non-archimedean Polish groups using structural Ramsey Theory. Category theoretic methods have demonstrated to be quite effective at both proving Ramsey theoretic results, and generalizing Fra\”iss\’e Theory as witnessed by works of Mašulović and Kubiś respectively. In fact, the Fra\”iss\’e sequence approach of Kubiś has been fruitful in producing a variety of generic structures. Our goal for this talk is to manufacture a correspondence in the vein of Kechris, Pestov, and Todorcevic in the categorical setting with weaker combinatorial hypotheses, but the same dynamical strength. Time permitted, we will also look at some examples. This is a joint work with Adam Bartoš, Tristan Bice, Wiesław Kubiś.";"Please see http://gfs.fields.utoronto.ca/activities/22-23/set-theory-seminar."
"18";"CUNY Set Theory Seminar";"10/7/2022 16:30";"Friday, 7 October, 12:30pm New York time (18:30 CEST)";"Sakae Fuchino, Kobe University";"Definability of Laver-generic large cardinals and largeness of generic large cardinals with chain conditions";"For a class P of posets, a cardinal κ is said to be generically supercompact by P (or P-gen. supercompact for short) if, for any λ≥κ, there are P∈P such that, for all (V,P)-generic G there are j, M⊆V[G] with j:V≺→κM, j(κ)>λ, and j”λ∈M. 
A cardinal κ is Laver-generically supercompact for P (or P-Laver-gen. supercompact for short) if, for any λ≥κ, P∈P and (V,P)-generic G, there are P-name ˙Q with ∥–P“˙Q∈P” such that, for all (V,P∗˙Q)-generic H⊇G, there are j, M⊆V[H] such that j:V≺→κM, j(κ)>λ, and P∗˙Q, H, j”λ∈M. 
Perhaps it is not apparent at first sight in the formulation the definitions above but these notions of generic large cardinals are first-order definable (S.F, and H. Sakai [1]). 
While the generic supercompactness does not determine the size of the cardinal. Laver-generic supercompactness determines the size of the cardinal and that of the continuum in most of the natural settings of P (see S.F., A.Ottenbreit Maschio Rodrigues, and H. Sakai [0] for a proof): 
(A) If κ is P-Laver-gen. supercompact for a class P of posets such that (1) all P∈P are ω1preserving, (2) all P∈P do not add reals, and (3) there is a P1∈P which collapses ω2, then κ=ℵ2 and CH holds. 
(B) If κ is P-Laver-gen. supercompact for a class P of posets such that (1) all P∈P are ωpreserving, (2)’ there is an a P0∈P which add a real, and (3) there is a P1 which collapses ω2, thenκ=ℵ2=2ℵ2. 
(C) If κ is P-Laver-gen. supercompact for a class P of posets such that (1)’ all P∈P preserve cardinals, and (2)’ there is a P0∈P which adds a real, then κ is very large and κ≤2ℵ0. 
The case (C) can be still improved ([0]): 
(C’) If κ is tightly P-Laver-gen. supercompact for a class P of posets such that (1)’ all P∈Ppreserve cardinals, and (2)’ there is a P0∈P which adds a real, then κ is very large and κ=2ℵ0. 
(A P-Laver-gen. supercompact cardinal κ is tightly P-Laver-gen. supercompact, if ˙Q in the definition of Laver-gen. supercompactness can always be chosen to be small enough — see [0] for a precise definition.) 
In this talk, we are going to give a sketch of the proof of definability and discuss about a theorem which assesses the largeness of κ in (C) under the additional assumption that elements of P satisfy certain chain conditions. 
[0] S.F., A.Ottenbreit Maschio Rodrigues, and H.Sakai, Strong downward Löwenheim-Skolem theorems for stationary logics, II — reflection down to the continuum, Archive for Mathematical Logic, Vol.60, 3-4, (2021), 495–523. https://fuchino.ddo.jp/papers/SDLS-x.pdf 
[1] S.F., and H.Sakai, Generically supercompact cardinals by forcing with chain conditions RIMS Kôkûroku, No.2213 (2022). https://fuchino.ddo.jp/papers/RIMS2021-ccc-gen-supercompact-x.pdf
[2] S.F., and H.Sakai, The first-order definability of generic large cardinals, to appear. https://fuchino.ddo.jp/papers/definability-of-glc-x.pdf";"The seminar will take place virtually. Please email Victoria Gitman (vgitman@nylogic.org) for the meeting id."
"19";"CUNY Logic Workshop";"10/7/2022 18:00";"Friday, 7 October, 2:00 – 3:30 New York time (20:00-21:30 CEST)";"Krzysztof Krupiński, University of Wroclaw";"Some Ramsey theory and topological dynamics for first order theories";"I will discuss a theory developed in my joint paper with Junguk Lee and Slavko Moconja. One can view it as a variant of Kechris, Pestov, and Todorčević theory in the context of (complete first order) theories. I will discuss several ‘definable’ Ramsey-theoretic properties of first order theories and their dynamical characterizations. The point is that all the Ramsey-theoretic properties that we introduce involve ‘definable colorings’ and the dynamical characterizations are ‘dynamical properties of the theories’, i.e. they are expressed in terms of the action of the group of automorphisms of a monster (i.e. sufficiently saturated and homogeneous) model of the theory in question on the appropriate space of types. One of the basic results says that a theory has the definable Ramsey property iff it is extremely amenable (as defined by Hrushovski, Pillay and myself). But there are various other results, some of which are essentially new and may be surprising in comparison with the Kechris, Pestov, Todorčević theory. One of the motivations to study those properties was to understand better the so-called Ellis group of a theory (which was used by Pillay, Rzepecki, and myself to explain the nature of the Lascar Galois groups of first order theories and spaces of strong types, and led E. Hrushovski to some original development with striking applications to approximate subgroups). Using our dynamical characterizations, we obtain several criteria for profiniteness and for triviality of this Ellis group, with many examples where they apply. I will try to discuss it during my talk. If time permits, I may very briefly mention an abstract generalization of the above considerations and results, which also applies both to the context of definable groups as well as to the classical context of Kechris Pestov, Todorčević theory, leading to some new notions, results, and questions.";"The talk will take place in hybrid mode. Please see the seminar webpage or email Victoria Gitman for the link."
